# q	i	err
2.495700000000000002e-03 2.147179425714285106e+00 4.860047546428572507e-01
2.675499999999999927e-03 1.570824050000000582e+00 3.327869809571429305e-01
2.855299999999999852e-03 1.392235907142856943e+00 2.544469797285714430e-01
3.034999999999999937e-03 1.184369234285714390e+00 2.042863182571428293e-01
3.214799999999999863e-03 9.678341585714280715e-01 1.769211217142857007e-01
3.394499999999999948e-03 8.443390828571429862e-01 1.416579872714285870e-01
3.574299999999999873e-03 7.662272541428570838e-01 1.354267844714285574e-01
3.754099999999999798e-03 7.046229392857144003e-01 1.249763524142857157e-01
3.933800000000000317e-03 6.309943334285713634e-01 1.064518293957142925e-01
4.113600000000000242e-03 5.735240194285714521e-01 7.939773250000001226e-02
4.293299999999999894e-03 5.152516389999999280e-01 6.034300229571427920e-02
4.473099999999999819e-03 4.735361215714285477e-01 5.835050430571429164e-02
4.652899999999999744e-03 4.483562167142856048e-01 6.199519462000000619e-02
4.832600000000000263e-03 4.124731175714285714e-01 5.705113969142856789e-02
5.012400000000000189e-03 3.845484897142856795e-01 5.677203839142857394e-02
5.192099999999999840e-03 3.598261957142856460e-01 5.632331528285714622e-02
5.371899999999999765e-03 3.356160157142857314e-01 4.717451083571428533e-02
5.551699999999999691e-03 3.170524809999999971e-01 4.102586270142857122e-02
5.731400000000000210e-03 2.956632025714285850e-01 3.593661917000000317e-02
5.911200000000000135e-03 2.789180504285714290e-01 3.277584492857142651e-02
6.090899999999999787e-03 2.609019870000000574e-01 3.580260249857142307e-02
6.270699999999999712e-03 2.437462098571428204e-01 3.665122690285714524e-02
6.450499999999999637e-03 2.291921972857142720e-01 2.923825251000000333e-02
6.630200000000000156e-03 2.190581694285714254e-01 2.909664548714285814e-02
6.810000000000000081e-03 2.088696225714286037e-01 2.796045348000000125e-02
6.989699999999999733e-03 1.966495219999999655e-01 2.085661563571428526e-02
7.169499999999999658e-03 1.840567178428571538e-01 2.048397568714285799e-02
7.349299999999999583e-03 1.726209601000000260e-01 2.681356341999999865e-02
7.529000000000000102e-03 1.646725415142857307e-01 3.012669966142857494e-02
7.708800000000000027e-03 1.514704602142857293e-01 2.351187023999999973e-02
7.888499999999999679e-03 1.449619713999999726e-01 2.564542795571428738e-02
8.068300000000000471e-03 1.411176991000000214e-01 2.368478249000000035e-02
8.248099999999999529e-03 1.350034285999999750e-01 2.203930332571428161e-02
8.427799999999999181e-03 1.245479238714285591e-01 1.785554695999999955e-02
8.607599999999999973e-03 1.190026151142856981e-01 1.566878820285714374e-02
8.787299999999999625e-03 1.090732196285714301e-01 1.709886416714285692e-02
8.967100000000000418e-03 1.035450246285714304e-01 1.802723705714285446e-02
9.146899999999999475e-03 1.017237502428571388e-01 1.660290487457142736e-02
9.326600000000000862e-03 9.704304845714284422e-02 1.544633048428571513e-02
9.506399999999999920e-03 8.956550018571429739e-02 1.537863524971428732e-02
9.686099999999999571e-03 8.569661867142859546e-02 1.131549742957142952e-02
9.865900000000000364e-03 7.878834482857142996e-02 1.009852282942856963e-02
1.004599999999999937e-02 7.668622451428572240e-02 1.143987471942857145e-02
1.022499999999999971e-02 7.367409115714283752e-02 1.186418201485714245e-02
1.040499999999999932e-02 7.013886210000000454e-02 1.156539358271428501e-02
1.058500000000000066e-02 6.851092189999999360e-02 1.232007196657142721e-02
1.076500000000000026e-02 6.590151269999998396e-02 1.195688239857142961e-02
1.094400000000000060e-02 6.209645804285712778e-02 1.019596860314285654e-02
1.112400000000000021e-02 5.950213952857141830e-02 9.914661891857143652e-03
1.130399999999999981e-02 5.718742687142856773e-02 8.508444288428571381e-03
1.148399999999999942e-02 5.468726352857142953e-02 1.124756875914285741e-02
1.166299999999999976e-02 5.199624377142857828e-02 1.039590382914285828e-02
1.184299999999999936e-02 5.061089935714285781e-02 8.871478827000000081e-03
1.202300000000000070e-02 4.823971587142857065e-02 8.766931625857142529e-03
1.220300000000000031e-02 4.717420661428572276e-02 8.730119510714286560e-03
