# q	i	err
2.495700000000000002e-03 5.688223371428563491e-01 6.802894762571429776e-01
2.675499999999999927e-03 4.262768057142857780e-01 4.917758287285714514e-01
2.855299999999999852e-03 3.680558614285708852e-01 4.141747485999999756e-01
3.034999999999999937e-03 3.149528457142856674e-01 3.169564284714286306e-01
3.214799999999999863e-03 2.882823042857138307e-01 2.670053579428571244e-01
3.394499999999999948e-03 2.542871228571429443e-01 1.848517710142857096e-01
3.574299999999999873e-03 1.939478485714286327e-01 1.445783330857142723e-01
3.754099999999999798e-03 1.866455205714287746e-01 1.238067418285714316e-01
3.933800000000000317e-03 1.586004574285712898e-01 9.072736145428571264e-02
4.113600000000000242e-03 1.276226821428571856e-01 9.025999094285715174e-02
4.293299999999999894e-03 1.181175407142857209e-01 7.302302508285714311e-02
4.473099999999999819e-03 1.110504968571429246e-01 5.806128252428571779e-02
4.652899999999999744e-03 1.188849904285714382e-01 5.066007760285714395e-02
4.832600000000000263e-03 1.072702064285714352e-01 4.131567526428571446e-02
5.012400000000000189e-03 9.766034685714282404e-02 4.426929932857143202e-02
5.192099999999999840e-03 9.409341342857142909e-02 3.433588409428571520e-02
5.371899999999999765e-03 7.958023428571428526e-02 2.975016109857142946e-02
5.551699999999999691e-03 7.570357657142849639e-02 2.771396110999999746e-02
5.731400000000000210e-03 7.108686414285714239e-02 2.649151707999999883e-02
5.911200000000000135e-03 6.075310985714287015e-02 2.544181997714286061e-02
6.090899999999999787e-03 6.384913499999994579e-02 2.482878159999999876e-02
6.270699999999999712e-03 6.125920228571430509e-02 2.197209890285714562e-02
6.450499999999999637e-03 5.604272700000000051e-02 2.019260299714286180e-02
6.630200000000000156e-03 5.155744757142856349e-02 1.897903477428571420e-02
6.810000000000000081e-03 4.771434799999997589e-02 1.635499739000000063e-02
6.989699999999999733e-03 4.962513599999999331e-02 1.686493541285714187e-02
7.169499999999999658e-03 4.188260371428566969e-02 1.548716597857142940e-02
7.349299999999999583e-03 4.127852042857144826e-02 1.245675625000000099e-02
7.529000000000000102e-03 4.056104742857141732e-02 1.237172114857142992e-02
7.708800000000000027e-03 4.084814384285713473e-02 1.350119705714285766e-02
7.888499999999999679e-03 3.874824461428572758e-02 1.112241927571428445e-02
8.068300000000000471e-03 3.926414795714285033e-02 1.092168745428571605e-02
8.248099999999999529e-03 3.678869645714286790e-02 1.015475513999999913e-02
8.427799999999999181e-03 3.336700485714285541e-02 1.213991126428571286e-02
8.607599999999999973e-03 3.158259877142857025e-02 1.187866150428571431e-02
8.787299999999999625e-03 2.991369098571428076e-02 9.742729078571429197e-03
8.967100000000000418e-03 3.253070258571427037e-02 1.034299562714285567e-02
9.146899999999999475e-03 2.931523092857141188e-02 1.043942963000000015e-02
9.326600000000000862e-03 2.400865704285713373e-02 8.833588957142856149e-03
9.506399999999999920e-03 2.412274288571428227e-02 9.158622434285713237e-03
9.686099999999999571e-03 2.530145887142857056e-02 8.876989735714284693e-03
9.865900000000000364e-03 2.298397605714284572e-02 8.354253897142857252e-03
1.004599999999999937e-02 2.133591981428571011e-02 8.309772852857142539e-03
1.022499999999999971e-02 2.079869844285714073e-02 7.724831265714285355e-03
1.040499999999999932e-02 1.944447308571427627e-02 7.666706382857143252e-03
1.058500000000000066e-02 2.204534381428571721e-02 7.122532202857143405e-03
1.076500000000000026e-02 2.027773441428570508e-02 6.721043271428571789e-03
1.094400000000000060e-02 2.027204041428571843e-02 6.876005020000000058e-03
1.112400000000000021e-02 2.029770544285714254e-02 6.537661559999999664e-03
1.130399999999999981e-02 1.763158614285714049e-02 5.932891694285714890e-03
1.148399999999999942e-02 1.762815021428570939e-02 6.212994900000000202e-03
1.166299999999999976e-02 1.521412089999999752e-02 6.517557726000000780e-03
1.184299999999999936e-02 1.404865352857142570e-02 5.877502894285714652e-03
1.202300000000000070e-02 1.418295035714285494e-02 6.862764024285713561e-03
1.220300000000000031e-02 1.376886831428571038e-02 5.788353470571429467e-03
1.238299999999999991e-02 1.349826385714285489e-02 5.874605208285713955e-03
1.256200000000000025e-02 1.492608025714286558e-02 6.272715846428571218e-03
1.274199999999999985e-02 1.459820368571428280e-02 6.254729530000000155e-03
1.292199999999999946e-02 1.365780010000000252e-02 5.704486674285714869e-03
1.310200000000000080e-02 1.245623084285714215e-02 4.972709939571428109e-03
1.328099999999999940e-02 1.245894119999999515e-02 4.758885616857143515e-03
1.346100000000000074e-02 1.273680631428571186e-02 4.683145794571429155e-03
1.364100000000000035e-02 1.258538732857142871e-02 4.774445944142857202e-03
1.382099999999999995e-02 1.143655572857142644e-02 4.528278690714286278e-03
1.400000000000000029e-02 1.177656461428571236e-02 4.685570587857143185e-03
