# q	i	err
2.495700000000000002e-03 1.327990951428570154e+00 3.635809941142857382e-01
2.675499999999999927e-03 1.243592004285713148e+00 2.919360935857143180e-01
2.855299999999999852e-03 1.096244374285714418e+00 2.501794495999999923e-01
3.034999999999999937e-03 1.047862004285714077e+00 1.841547229714286249e-01
3.214799999999999863e-03 9.089365971428567947e-01 1.428697446142857264e-01
3.394499999999999948e-03 8.542877357142856232e-01 1.163945580714285805e-01
3.574299999999999873e-03 7.836172099999997309e-01 1.039443741142857119e-01
3.754099999999999798e-03 7.119770091428569980e-01 9.610317562857143003e-02
3.933800000000000317e-03 6.833095691428570095e-01 9.869174849714283659e-02
4.113600000000000242e-03 6.306552014285713437e-01 7.438682551428570100e-02
4.293299999999999894e-03 5.953058017142857095e-01 8.669036856857141593e-02
4.473099999999999819e-03 5.497212468571428534e-01 5.855017019571429060e-02
4.652899999999999744e-03 5.167807642857144002e-01 6.055762288857143016e-02
4.832600000000000263e-03 4.960672719999998925e-01 5.759347185000000119e-02
5.012400000000000189e-03 4.661742627142856366e-01 5.234764670000000703e-02
5.192099999999999840e-03 4.402144842857142470e-01 5.090178716142857579e-02
5.371899999999999765e-03 4.221821385714285002e-01 4.857584716142856335e-02
5.551699999999999691e-03 4.041319184285713795e-01 4.673064405857142722e-02
5.731400000000000210e-03 3.917543117142857079e-01 4.723540158714285148e-02
5.911200000000000135e-03 3.668234781428570956e-01 3.793311702714285277e-02
6.090899999999999787e-03 3.540344727142856196e-01 3.835471180142857595e-02
6.270699999999999712e-03 3.374069855714285082e-01 3.716592505142856523e-02
6.450499999999999637e-03 3.173577681428570996e-01 2.736684440000000315e-02
6.630200000000000156e-03 3.107993172857143049e-01 2.690709861714285847e-02
6.810000000000000081e-03 2.976137399999999600e-01 3.009060953000000302e-02
6.989699999999999733e-03 2.856550035714285896e-01 2.557253075142857171e-02
7.169499999999999658e-03 2.728645744285714270e-01 2.248541276857143195e-02
7.349299999999999583e-03 2.610293392857143124e-01 2.735846464428571406e-02
7.529000000000000102e-03 2.556289420000000256e-01 2.425879671285714051e-02
7.708800000000000027e-03 2.462409284142857147e-01 2.455526153857142888e-02
7.888499999999999679e-03 2.364095398571428308e-01 2.392118432714285606e-02
8.068300000000000471e-03 2.263263836000000140e-01 2.105176898571428645e-02
8.248099999999999529e-03 2.185182977285713979e-01 2.352404970285714575e-02
8.427799999999999181e-03 2.107185498428571779e-01 1.836767912428571500e-02
8.607599999999999973e-03 2.023836809857142705e-01 1.709764709857142934e-02
8.787299999999999625e-03 1.966794873857142800e-01 1.687124798714285598e-02
8.967100000000000418e-03 1.906254204000000230e-01 1.955033323142857035e-02
9.146899999999999475e-03 1.814348043714285874e-01 1.815255922285714113e-02
9.326600000000000862e-03 1.735763303428571602e-01 1.663395489142856926e-02
9.506399999999999920e-03 1.698845708428571299e-01 1.636993971571428647e-02
9.686099999999999571e-03 1.636670882428571117e-01 1.733273502714285583e-02
9.865900000000000364e-03 1.569969826571428750e-01 1.663139592999999736e-02
1.004599999999999937e-02 1.506904605857142809e-01 1.400784505571428702e-02
1.022499999999999971e-02 1.437642425428571347e-01 1.065489348999999926e-02
1.040499999999999932e-02 1.407743182714285834e-01 1.311090748285714293e-02
1.058500000000000066e-02 1.349649534142856877e-01 1.445560232428571255e-02
1.076500000000000026e-02 1.310776662571428441e-01 1.169495346285714422e-02
1.094400000000000060e-02 1.266177709571428556e-01 1.112511287714285958e-02
1.112400000000000021e-02 1.223889238714285649e-01 1.151064298571428599e-02
1.130399999999999981e-02 1.174825942714285837e-01 1.207745433714285666e-02
1.148399999999999942e-02 1.148042867714285792e-01 1.136027700428571437e-02
1.166299999999999976e-02 1.111502268285714384e-01 1.045098808742857266e-02
1.184299999999999936e-02 1.067605494142856992e-01 1.098203702000000170e-02
1.202300000000000070e-02 1.046817677714285827e-01 9.992094245714285700e-03
1.220300000000000031e-02 1.003602645999999987e-01 8.783555673428571769e-03
1.238299999999999991e-02 1.003005582571428606e-01 6.946383105428571673e-03
1.256200000000000025e-02 9.717853112857142983e-02 8.575028560714284195e-03
1.274199999999999985e-02 9.437127219999999483e-02 1.076030541000000049e-02
1.292199999999999946e-02 9.264564204285712090e-02 1.626585297999999860e-02
1.310200000000000080e-02 8.843040204285713968e-02 1.311728334099999949e-02
